Longitude,Latitude,Place,Category,Address
-120.66679,38.192138,Calaveras County Animal Services,Public Health,"901 Jeff Tuttle Drive<br>San Andreas, CA 95249<br>(209) 754-6509<br> <br>Please see our website for office and shelter hours.<br> <br>www.animal.calaverasgov.us (http://www.animal.calaverasgov.us)"
-120.680582,38.196933,Calaveras County Archives,Public Health,"46 North Main St.<br>San Andreas, CA 95249"
-120.688961,38.19863,Calaveras County Behavioral Health Annex,Public Health,"373 St. Charles St., Suite E<br>San Andreas, CA 95249"
-120.664912,38.190063,Calaveras County Behavioral Health Services,Public Health,"891 Mountain Ranch Road<br>Building ""L""<br>San Andreas, CA 95249"
-120.68048,38.196124,Calaveras County Government Offices,Public Health,Columbo Building<br>23 E. St. Charles St.<br>San Andreas CA 95249<br> <br>Offices For:<br>-Probation Department <br>-Agriculture Department
-120.671189,38.188891,Calaveras County Public Health,Public Health,"700 Mountain Ranch Rd, Suite C-2<br>San Andreas, CA 95249"
-120.6882115,38.198721,Calaveras County Public Health Annex,Public Health,"373 St. Charles St., Suite Bæææææææææææææææææææææææææææææææææææææææ San Andreas, CA 95249 ææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææ Offices For:æææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææææ -Public Health Annexææææææææææææææææææææææææææææææææææææææææææææææææææææ -First Five Calaverasæ"
-120.539584,38.072328,Calaveras HHSA Angels Camp Office,Public Health,"1168 Booster Wayæææææææææææææææææææææææææææææææææææææææææææææææææææææææ Angels Camp, CAæ 95222<br><br>Phone: (209) 736-0179 <br>Fax: (209) 293-2306<br><br>Hours:æ Mondaysææ 8:00 am - 4:00pm"
-120.3645195,38.2388881,Calaveras HHSA Arnold Office,Public Health,"2182 Highway 4,æææææææææææææææææææææææææææææææææææææææææææææææææ Arnold, CAæ 95223<br><br>Phone: (209) 768-7588<br>Fax: (209) 795-5129<br><br>Hours:æ Tuesdaysææ 8:00 am - 2:00 pm"
-120.6041147,37.9379215,Calaveras HHSA Copperopolis Office,Public Health,"3505 Spangler Lane, Suite# 405æ<br> Copperopolis, CAæ 95228<br><br>Phone: (209) 768-7540<br>Fax: (209) 785-1273<br><br>Hours:æ Tuesdaysæ & Thursdaysæ 8:00 am - 5:00 pm<br><br>Veteran's Services by Appointment, please call: (209) 754-6624"
-120.5429558,38.2286782,Calaveras HHSA Mountain Ranch Office,Public Health,"7867 Whiskey Slide Roadæ<br> Mountain Ranch, CAæ 95246<br><br>Phone: (209) 754-4509<br>Fax: (209) 754-4509<br><br>Hours:æ Tuesdays 10:00 am _ 2:00 pmæ andæThursdaysææ 8:30 am - 12:00 pm"
-120.5167644,38.3369821,Calaveras HHSA Railroad Flat Office,Public Health,"205 N. Railroad Flat Roadææ<br>Railroad Flat, CAæ 95248<br><br>Phone: (209) 293-0222 or (209) 768-7523<br><br>Hours:æ Wednesdays 12:30 pm _ 4:00 pm"
-120.5297429,38.4002708,Calaveras HHSA West Point Office,Public Health,"291 A Main Streetæ<br>West Point, CAæ 95255<br><br>Phone: (209) 293-2333 or 768-7523<br>Fax: (209) 293-2306<br><br>Hours:æ Tuesdaysæ & Thursdaysæ 7:30 am - 4:00 pm<br><br>Veteran's Services by Appointment, please call: (209) 754-6624"
-120.67385,38.189583,Health & Human Services Agency,Public Health,509 East St. Charles St.<br>San Andreas CA 95249
